talk,puhua
help,auttaa
go,menna
come,tulla
listen,kuunnella
ask,kysyä
laugh,nauraa
think,ajatella
look,katsoa
wait,odottaa
smile,hymyillä
shout,huutaa
start,alkaa
in ten minutes,kymmenen minuutin kuluttua
this way,tänne
Let's see.,Katsotaan.
Watch out!,Varo!
a rock,kivi
Thanks!,Kiitos!
a forest,metsä
kick,potkia
what?,mitä?
we're,me olemme
almost there,melkein perillä
Let's go!,Mennään!
Don't laugh at others.,Älä naura muille.
put,laittaa
shoes,kengät
play,pelata
new,uusi
a rule, sääntö
are,ovat
late, myöhässä
a football game, jalkapallopeli
others, muita
that, se
easy,helppoa
don't,älä
your,teidän
on your hands,käsiinne

